# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6643000000         1.0000  33
        5.1028500000         2.0000  52,51
        4.6746000000         1.0000  47
        3.3236000000         1.0000  35
        2.9772000000         1.0000  44
        2.8257500000         2.0000  31,36
        2.6599000000         1.0000  53
        2.4377000000         1.0000  38
        2.3713000000         1.0000  46
        2.2872000000         1.0000  49
        2.1196000000         2.0000  34,30
        1.9623000000         1.0000  42
        1.8419500000         2.0000  45,50
        1.7559500000         2.0000  60,48
        1.6838000000         1.0000  59
        1.5024666667         3.0000  61,41,57
        1.4030000000         1.0000  54
        1.3226000000         1.0000  37
        1.2366000000         2.0000  58,64
        0.9998500000         2.0000  43,56
        0.9146000000         2.0000  63,55
        0.6842000000         2.0000  65,40
        0.4803000000         1.0000  39
