# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6718000000         1.0000  33
        5.1256000000         2.0000  51,52
        4.7726000000         1.0000  47
        3.6765000000         1.0000  44
        3.2931000000         1.0000  34
        3.0448000000         1.0000  36
        2.8220000000         1.0000  31
        2.6960000000         1.0000  55
        2.2778000000         2.0000  46,35
        2.1721000000         1.0000  30
        2.0145500000         2.0000  43,38
        1.9559000000         1.0000  49
        1.9025000000         1.0000  48
        1.8079500000         2.0000  50,60
        1.7009500000         2.0000  45,59
        1.5445000000         1.0000  61
        1.4610000000         1.0000  56
        1.3979000000         1.0000  53
        1.2350000000         1.0000  58
        1.0213750000         4.0000  37,42,57,65
        0.9292000000         1.0000  54
        0.8373666667         3.0000  64,41,63
        0.7668000000         1.0000  40
        0.6111000000         1.0000  39
