# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.7219000000         1.0000  33
        5.1103500000         2.0000  52,51
        4.6846000000         1.0000  47
        3.3185000000         1.0000  35
        3.2315000000         1.0000  36
        2.9615000000         1.0000  44
        2.8422000000         1.0000  31
        2.6710000000         1.0000  55
        2.3935000000         1.0000  46
        2.2972000000         1.0000  50
        2.1192000000         2.0000  34,30
        1.9828500000         2.0000  37,43
        1.8194000000         3.0000  48,45,60
        1.7194500000         2.0000  49,59
        1.5432000000         1.0000  61
        1.4516000000         1.0000  56
        1.3756000000         1.0000  53
        1.2376000000         1.0000  58
        1.0293500000         4.0000  42,38,63,57
        0.8976000000         1.0000  54
        0.8212750000         4.0000  39,64,40,65
        0.5892000000         1.0000  41
