# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6861000000         1.0000  33
        5.3796000000         1.0000  51
        5.0390000000         1.0000  52
        4.7425000000         1.0000  47
        3.3207000000         1.0000  44
        3.2288000000         1.0000  34
        2.8321000000         1.0000  31
        2.7270000000         1.0000  55
        2.6112000000         1.0000  36
        2.2064000000         1.0000  30
        2.0745500000         2.0000  46,35
        2.0051500000         2.0000  45,43
        1.8208000000         1.0000  50
        1.7022250000         4.0000  60,48,59,37
        1.5749000000         1.0000  49
        1.4840000000         1.0000  61
        1.3088666667         6.0000  56,38,58,53,39,40
        1.0493666667         3.0000  64,42,57
        0.9559000000         2.0000  54,65
        0.5043500000         2.0000  41,63
