# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.9910000000         1.0000  33
        5.0787000000         1.0000  52
        4.9907000000         1.0000  51
        4.6341000000         1.0000  47
        4.3153000000         1.0000  44
        3.1599000000         1.0000  45
        3.0808000000         1.0000  36
        2.5416000000         2.0000  31,55
        2.3043000000         1.0000  35
        2.2486000000         1.0000  30
        2.1439000000         1.0000  34
        1.8451800000         5.0000  43,60,61,59,48
        1.6424000000         1.0000  50
        1.5532250000         4.0000  49,38,46,37
        1.4229000000         2.0000  57,40
        1.3588000000         1.0000  53
        1.2917000000         1.0000  41
        1.2363000000         1.0000  56
        1.0667000000         3.0000  64,54,58
        0.9816000000         1.0000  65
        0.8739000000         1.0000  42
        0.5470000000         1.0000  63
        0.4970000000         1.0000  39
