# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.7022000000         1.0000  33
        5.1328000000         2.0000  52,51
        4.6794000000         1.0000  47
        3.3763000000         1.0000  35
        2.9040500000         2.0000  36,44
        2.7956000000         1.0000  31
        2.5913000000         1.0000  53
        2.4862000000         1.0000  46
        2.3056000000         1.0000  49
        2.1001000000         1.0000  30
        2.0428000000         1.0000  34
        1.9116500000         2.0000  42,50
        1.7772750000         4.0000  37,45,48,60
        1.6435500000         2.0000  40,59
        1.4678666667         3.0000  57,61,58
        1.2992500000         2.0000  38,54
        1.1338000000         2.0000  43,41
        0.9686000000         2.0000  56,55
        0.8562000000         2.0000  63,65
        0.7311000000         1.0000  64
        0.6680000000         1.0000  39
