# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8389000000         1.0000  33
        5.1097000000         2.0000  52,51
        4.4973000000         1.0000  47
        4.1234000000         2.0000  36,44
        3.2749000000         1.0000  46
        2.6204000000         1.0000  31
        2.3869000000         1.0000  55
        2.2855000000         1.0000  30
        2.2179000000         1.0000  35
        2.1098666667         3.0000  34,48,37
        1.9874000000         1.0000  43
        1.9002000000         1.0000  60
        1.7954000000         3.0000  49,59,61
        1.6384000000         1.0000  50
        1.5358000000         3.0000  45,57,38
        1.3699666667         3.0000  41,56,53
        1.0106000000         4.0000  54,58,42,40
        0.8729000000         1.0000  63
        0.6929000000         1.0000  64
        0.4148000000         1.0000  39
        0.3601000000         1.0000  65
