# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8579000000         1.0000  33
        5.0426500000         2.0000  52,51
        4.5612000000         1.0000  47
        4.2640000000         1.0000  44
        3.5758000000         1.0000  36
        3.2027000000         1.0000  45
        2.5671000000         1.0000  31
        2.3725000000         1.0000  55
        2.2751000000         1.0000  30
        2.1298000000         2.0000  35,34
        1.9882000000         1.0000  38
        1.9137000000         2.0000  43,60
        1.8271666667         3.0000  61,59,48
        1.6771000000         1.0000  50
        1.6028500000         2.0000  49,57
        1.5316000000         1.0000  46
        1.3644000000         2.0000  56,53
        1.2306500000         2.0000  40,37
        1.0041666667         3.0000  58,54,42
        0.8507500000         2.0000  39,64
        0.7577500000         2.0000  41,63
        0.6848000000         1.0000  65
