# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6171000000         1.0000  33
        5.1954000000         1.0000  51
        5.0812000000         1.0000  52
        4.7724000000         1.0000  47
        3.9345000000         1.0000  36
        3.6251000000         1.0000  44
        3.2903000000         1.0000  34
        2.8063000000         1.0000  31
        2.6570000000         1.0000  55
        2.3645000000         1.0000  46
        2.1717000000         2.0000  35,30
        2.0582000000         1.0000  38
        1.9667333333         3.0000  43,49,48
        1.8183500000         2.0000  50,60
        1.6852000000         2.0000  45,59
        1.4755250000         4.0000  37,61,56,58
        1.3614000000         1.0000  41
        1.3022000000         1.0000  53
        1.1348000000         1.0000  42
        1.0842000000         1.0000  39
        0.9909500000         2.0000  57,54
        0.8909000000         1.0000  63
        0.7011000000         1.0000  64
        0.5265000000         1.0000  65
        0.4037000000         1.0000  40
