# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8744000000         1.0000  33
        5.1261500000         2.0000  51,52
        4.5662000000         1.0000  47
        4.1883000000         1.0000  44
        3.2249000000         2.0000  46,36
        2.6011000000         1.0000  31
        2.5250000000         1.0000  53
        2.3693000000         1.0000  35
        2.2501000000         1.0000  30
        2.1993000000         1.0000  34
        2.1323000000         1.0000  49
        2.0286000000         1.0000  37
        1.9729000000         1.0000  42
        1.8247750000         4.0000  60,59,50,61
        1.6535000000         1.0000  48
        1.5381000000         1.0000  45
        1.4706000000         1.0000  57
        1.4007500000         2.0000  40,54
        1.2501000000         1.0000  58
        1.0747333333         3.0000  38,56,55
        0.9710000000         1.0000  63
        0.9042333333         3.0000  39,43,65
        0.7674000000         1.0000  41
        0.5753000000         1.0000  64
