# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.7555000000         1.0000  33
        5.3991000000         1.0000  52
        5.0367000000         1.0000  51
        4.7991000000         1.0000  47
        3.3190000000         1.0000  35
        3.2064000000         1.0000  44
        2.8981000000         1.0000  36
        2.8456000000         1.0000  31
        2.6134000000         1.0000  55
        2.2009000000         1.0000  30
        2.1507000000         1.0000  45
        2.0432500000         2.0000  34,46
        1.9544000000         1.0000  43
        1.7897000000         3.0000  49,37,60
        1.6421500000         4.0000  50,40,59,48
        1.4839333333         3.0000  57,61,56
        1.2926500000         2.0000  53,38
        1.1627000000         1.0000  42
        1.0878000000         1.0000  41
        0.9908000000         2.0000  58,54
        0.8355000000         2.0000  63,65
        0.7059000000         1.0000  64
        0.6482000000         1.0000  39
