# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8876000000         1.0000  33
        5.0769000000         1.0000  51
        4.9680000000         1.0000  52
        4.5958000000         1.0000  47
        4.2946000000         1.0000  44
        3.2801000000         1.0000  46
        3.2213000000         1.0000  36
        2.5490500000         2.0000  31,55
        2.2585000000         1.0000  30
        2.1980000000         1.0000  34
        2.1108000000         1.0000  35
        1.9809500000         2.0000  38,43
        1.8454500000         4.0000  60,59,61,49
        1.5611200000         5.0000  48,41,50,56,45
        1.3890000000         2.0000  53,37
        1.2922000000         1.0000  58
        1.0556400000         5.0000  57,54,65,39,63
        0.9202000000         1.0000  42
        0.6375000000         1.0000  64
        0.5169000000         1.0000  40
