# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8127000000         1.0000  33
        5.5056000000         1.0000  51
        5.1050000000         1.0000  52
        4.6878000000         1.0000  47
        4.0737000000         1.0000  36
        3.9100000000         1.0000  44
        3.3912000000         1.0000  46
        2.5143000000         1.0000  31
        2.3966000000         1.0000  55
        2.0676500000         6.0000  30,45,35,38,50,34
        1.8914000000         1.0000  60
        1.7924000000         4.0000  59,43,61,48
        1.6609000000         1.0000  49
        1.5535000000         1.0000  56
        1.4612000000         1.0000  37
        1.3656000000         1.0000  39
        1.3027500000         2.0000  58,53
        0.9994333333         3.0000  40,57,54
        0.8878000000         2.0000  42,63
        0.6780000000         1.0000  64
        0.4191000000         1.0000  41
        0.3358000000         1.0000  65
