# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6810000000         1.0000  33
        5.1205500000         2.0000  52,51
        4.6777000000         1.0000  47
        3.7477000000         1.0000  36
        3.3541000000         1.0000  35
        2.9076000000         1.0000  44
        2.7863000000         1.0000  31
        2.6275000000         1.0000  53
        2.4838000000         1.0000  46
        2.3213000000         1.0000  49
        2.0549666667         3.0000  30,34,38
        1.9682000000         1.0000  42
        1.7943750000         4.0000  50,45,60,48
        1.6546000000         1.0000  59
        1.4521200000         5.0000  37,61,58,57,41
        1.2781000000         1.0000  54
        1.1325000000         1.0000  43
        1.0571000000         1.0000  40
        0.9669000000         2.0000  56,55
        0.8695000000         1.0000  63
        0.6888000000         1.0000  65
        0.5638000000         1.0000  64
        0.3915000000         1.0000  39
