# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8755000000         1.0000  33
        5.1614000000         1.0000  51
        5.1104000000         1.0000  52
        4.4832000000         1.0000  47
        4.1584000000         1.0000  44
        3.5105000000         1.0000  36
        3.2880000000         1.0000  46
        2.6174000000         1.0000  31
        2.3767000000         1.0000  53
        2.2772000000         1.0000  30
        2.1556666667         3.0000  34,35,49
        1.9477666667         3.0000  37,42,60
        1.7969333333         3.0000  59,50,61
        1.6437000000         1.0000  48
        1.5721000000         2.0000  57,45
        1.3454333333         3.0000  58,54,40
        1.2061000000         1.0000  38
        1.0016666667         3.0000  56,55,43
        0.8388500000         2.0000  41,65
        0.7465500000         2.0000  39,63
        0.6643000000         1.0000  64
