# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6467000000         1.0000  33
        5.3971000000         1.0000  51
        5.0226000000         1.0000  52
        4.7027000000         1.0000  47
        3.3423000000         1.0000  44
        3.2036000000         1.0000  34
        2.8726000000         1.0000  31
        2.7618000000         2.0000  36,55
        2.2194000000         1.0000  30
        2.0212000000         5.0000  35,45,46,43,37
        1.8327000000         1.0000  50
        1.7635000000         1.0000  60
        1.6748500000         2.0000  48,59
        1.5790000000         1.0000  49
        1.4875000000         1.0000  61
        1.4310000000         1.0000  56
        1.2950000000         3.0000  58,53,39
        1.0316000000         5.0000  42,38,57,63,54
        0.8710500000         2.0000  64,40
        0.7540000000         1.0000  41
        0.5395000000         1.0000  65
