# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8946000000         1.0000  33
        4.9936000000         1.0000  52
        4.8987000000         1.0000  51
        4.5025000000         1.0000  47
        4.4276000000         1.0000  44
        3.1961000000         1.0000  36
        2.7892000000         1.0000  45
        2.5870500000         2.0000  31,55
        2.3295500000         2.0000  35,30
        2.1728000000         1.0000  34
        2.0270000000         1.0000  38
        1.9712000000         1.0000  43
        1.8880000000         1.0000  60
        1.7893400000         5.0000  59,46,49,61,50
        1.5366000000         1.0000  48
        1.4286333333         3.0000  57,40,53
        1.2518000000         1.0000  56
        1.0827000000         3.0000  37,54,58
        0.9165750000         4.0000  63,41,42,64
        0.7538000000         1.0000  39
        0.5807000000         1.0000  65
