# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8572000000         1.0000  33
        5.5118000000         1.0000  52
        5.0807000000         1.0000  51
        4.6234000000         1.0000  47
        3.9671000000         1.0000  44
        3.3107000000         1.0000  45
        3.1043000000         1.0000  36
        2.5017000000         2.0000  31,53
        2.2070000000         1.0000  35
        2.0528200000         5.0000  30,34,48,46,37
        1.8510333333         3.0000  43,60,59
        1.7667500000         2.0000  61,50
        1.6405000000         1.0000  49
        1.4206500000         2.0000  58,41
        1.3436000000         1.0000  55
        1.2282000000         1.0000  56
        1.1013000000         1.0000  38
        1.0160000000         2.0000  54,57
        0.9562000000         1.0000  64
        0.8715333333         3.0000  40,63,42
        0.7568000000         1.0000  39
        0.5709000000         1.0000  65
