# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8478000000         1.0000  33
        5.4496000000         1.0000  51
        5.0718000000         1.0000  52
        4.6846000000         1.0000  47
        3.8171000000         1.0000  44
        3.4091000000         1.0000  46
        3.1970000000         1.0000  36
        2.5313000000         1.0000  31
        2.4036000000         1.0000  53
        2.1921500000         2.0000  34,35
        2.0677750000         4.0000  30,45,37,49
        1.8567500000         4.0000  60,42,59,61
        1.7570000000         1.0000  50
        1.6311000000         1.0000  48
        1.5123500000         2.0000  54,57
        1.1604000000         1.0000  58
        1.1013000000         1.0000  38
        0.9902000000         3.0000  56,55,64
        0.8907000000         1.0000  63
        0.8052400000         5.0000  43,65,39,40,41
