# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6560000000         1.0000  33
        5.1225500000         2.0000  51,52
        4.6493000000         1.0000  47
        3.2704000000         1.0000  35
        3.0900000000         1.0000  44
        2.7785000000         2.0000  31,36
        2.7015000000         1.0000  55
        2.3765000000         1.0000  45
        2.2685000000         1.0000  48
        2.0890500000         2.0000  30,34
        1.9611000000         2.0000  37,43
        1.8261000000         2.0000  49,46
        1.7401500000         2.0000  60,50
        1.6787000000         1.0000  59
        1.4842000000         1.0000  61
        1.4157000000         1.0000  57
        1.3056666667         3.0000  40,56,53
        1.0398750000         4.0000  38,42,65,58
        0.9497000000         1.0000  54
        0.8883500000         2.0000  63,39
        0.8040000000         1.0000  41
        0.5361000000         1.0000  64
