# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.7049000000         1.0000  33
        5.3694000000         1.0000  52
        5.0108000000         1.0000  51
        4.7458000000         1.0000  47
        3.3113000000         1.0000  35
        3.2128000000         1.0000  44
        2.8769000000         1.0000  31
        2.6913000000         1.0000  55
        2.4620000000         1.0000  36
        2.2132000000         1.0000  30
        2.1078000000         1.0000  34
        2.0093750000         4.0000  45,46,43,38
        1.7940000000         2.0000  49,60
        1.6807000000         2.0000  59,50
        1.5593500000         2.0000  48,61
        1.4803000000         1.0000  57
        1.3977000000         2.0000  37,53
        1.2600000000         1.0000  56
        1.0314000000         3.0000  64,58,42
        0.9439666667         3.0000  41,54,65
        0.7576000000         1.0000  39
        0.6213000000         1.0000  40
        0.5566000000         1.0000  63
