# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6709000000         1.0000  33
        5.1252000000         1.0000  52
        5.0746000000         1.0000  51
        4.6562000000         1.0000  47
        3.3500000000         1.0000  35
        2.9170000000         1.0000  44
        2.8150000000         1.0000  31
        2.6665000000         1.0000  55
        2.4784000000         1.0000  36
        2.3731000000         1.0000  46
        2.3181000000         1.0000  50
        2.1133500000         2.0000  34,30
        1.9854500000         2.0000  43,37
        1.8645000000         1.0000  48
        1.7814666667         3.0000  45,60,49
        1.6869000000         1.0000  59
        1.5390000000         1.0000  61
        1.4751000000         1.0000  56
        1.3940000000         2.0000  38,53
        1.2536000000         1.0000  58
        0.9783666667         6.0000  64,42,57,40,65,54
        0.7680000000         1.0000  41
        0.6171000000         1.0000  39
        0.5571000000         1.0000  63
