# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.9019000000         1.0000  33
        5.1556000000         1.0000  51
        5.0771000000         1.0000  52
        4.5423000000         1.0000  47
        4.0731000000         1.0000  44
        3.3434500000         2.0000  36,46
        2.6214000000         1.0000  31
        2.4364000000         1.0000  53
        2.3827000000         1.0000  35
        2.3266000000         1.0000  34
        2.2497000000         1.0000  30
        2.1094000000         1.0000  49
        2.0561000000         1.0000  37
        1.9896000000         1.0000  42
        1.9034000000         1.0000  60
        1.8067666667         3.0000  61,59,50
        1.6475000000         1.0000  48
        1.5534000000         3.0000  45,57,54
        1.1928000000         1.0000  58
        1.1074000000         1.0000  38
        1.0386500000         2.0000  56,55
        0.9439000000         1.0000  64
        0.8865000000         2.0000  63,43
        0.7960250000         4.0000  65,40,39,41
