# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8721000000         1.0000  33
        5.0358000000         1.0000  51
        4.9110000000         1.0000  52
        4.4728000000         1.0000  47
        4.3575000000         1.0000  44
        3.5153000000         1.0000  36
        2.8148000000         1.0000  46
        2.6198000000         1.0000  31
        2.3962000000         1.0000  53
        2.3139000000         1.0000  30
        2.1522000000         2.0000  34,35
        1.9595000000         2.0000  37,42
        1.8880000000         1.0000  60
        1.7927600000         5.0000  45,59,50,61,48
        1.5945000000         1.0000  57
        1.5242000000         1.0000  49
        1.3675000000         2.0000  58,54
        1.2897000000         1.0000  40
        1.1948000000         1.0000  38
        1.0141000000         3.0000  56,55,43
        0.8458000000         2.0000  41,65
        0.7423500000         2.0000  39,63
        0.6725000000         1.0000  64
