# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8314000000         1.0000  33
        5.1598000000         1.0000  51
        5.0892000000         1.0000  52
        4.5344000000         1.0000  47
        4.1662000000         1.0000  44
        3.8676000000         1.0000  36
        3.3143000000         1.0000  46
        2.6039000000         1.0000  31
        2.3816000000         1.0000  53
        2.2551000000         2.0000  30,35
        2.1162500000         2.0000  34,49
        1.9382333333         3.0000  42,37,60
        1.7932666667         3.0000  59,61,50
        1.6352000000         1.0000  48
        1.5515000000         2.0000  45,57
        1.3313500000         2.0000  58,54
        1.0327833333         6.0000  64,65,40,55,56,43
        0.9094500000         2.0000  39,38
        0.8369000000         1.0000  63
        0.7415000000         1.0000  41
