# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8370000000         1.0000  33
        5.4947000000         1.0000  51
        5.1076000000         1.0000  52
        4.6226000000         1.0000  47
        3.9545000000         1.0000  44
        3.4085500000         2.0000  36,46
        2.5076000000         1.0000  31
        2.3807000000         1.0000  53
        2.0651600000         5.0000  30,45,49,34,35
        1.8712000000         4.0000  37,60,42,59
        1.7716000000         2.0000  61,50
        1.6524000000         1.0000  48
        1.5493000000         1.0000  57
        1.3347000000         3.0000  40,54,58
        1.2244000000         1.0000  38
        0.9800666667         3.0000  55,56,41
        0.9187000000         1.0000  43
        0.8171000000         1.0000  65
        0.7150333333         3.0000  39,63,64
