# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.8701000000         1.0000  33
        5.0378000000         2.0000  51,52
        4.5755000000         1.0000  47
        4.2018000000         1.0000  44
        4.0806000000         1.0000  36
        3.2006000000         1.0000  46
        2.5792000000         1.0000  31
        2.4008000000         1.0000  53
        2.2456500000         2.0000  30,35
        2.0937500000         2.0000  38,34
        1.9812000000         1.0000  42
        1.8914000000         1.0000  60
        1.8264666667         3.0000  61,49,59
        1.6861000000         1.0000  48
        1.6209000000         1.0000  50
        1.5245666667         3.0000  57,37,45
        1.3686000000         3.0000  41,58,54
        1.0018750000         4.0000  56,55,43,40
        0.8829000000         1.0000  63
        0.7038000000         1.0000  65
        0.3936000000         2.0000  39,64
