# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6878000000         1.0000  33
        5.3863000000         1.0000  51
        5.0419000000         1.0000  52
        4.7433000000         1.0000  47
        3.8126000000         1.0000  36
        3.2948000000         1.0000  35
        3.1930000000         1.0000  44
        2.8210000000         1.0000  31
        2.6625000000         1.0000  55
        2.1798500000         2.0000  30,46
        2.0126250000         4.0000  34,38,45,43
        1.8102500000         2.0000  48,60
        1.7134000000         1.0000  49
        1.6593000000         1.0000  59
        1.5819000000         1.0000  50
        1.4659500000         4.0000  61,58,37,56
        1.3770000000         1.0000  41
        1.2869000000         1.0000  53
        1.1631000000         1.0000  42
        1.0625000000         1.0000  39
        1.0076000000         1.0000  57
        0.9566000000         1.0000  54
        0.8701000000         1.0000  63
        0.6782000000         1.0000  64
        0.5233000000         1.0000  65
        0.3835000000         1.0000  40
