# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.7472000000         1.0000  33
        5.3927000000         1.0000  51
        5.0184000000         1.0000  52
        4.7753000000         1.0000  47
        3.5135000000         1.0000  36
        3.3333000000         1.0000  35
        3.2049000000         1.0000  44
        2.8817000000         1.0000  31
        2.7189000000         1.0000  53
        2.2119500000         2.0000  38,30
        2.0878000000         2.0000  34,46
        2.0004000000         2.0000  45,42
        1.7762000000         2.0000  50,60
        1.6854000000         2.0000  48,59
        1.5405000000         2.0000  49,61
        1.4512000000         1.0000  57
        1.3753000000         1.0000  54
        1.2548000000         1.0000  58
        1.1196000000         1.0000  37
        1.0418666667         3.0000  64,43,56
        0.8966500000         2.0000  55,40
        0.7351500000         2.0000  65,41
        0.6762000000         1.0000  39
        0.6037000000         1.0000  63
