# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6200000000         1.0000  33
        5.3906000000         1.0000  51
        5.0197000000         1.0000  52
        4.7523000000         1.0000  47
        3.2762000000         1.0000  35
        3.2234000000         1.0000  44
        3.1125000000         1.0000  36
        2.8632000000         1.0000  31
        2.6511000000         1.0000  53
        2.2013000000         1.0000  30
        2.0704000000         1.0000  46
        2.0024000000         3.0000  34,45,42
        1.8053666667         3.0000  50,37,60
        1.6846000000         1.0000  48
        1.6089500000         2.0000  59,49
        1.4528333333         3.0000  61,57,58
        1.2804000000         1.0000  54
        1.0662800000         5.0000  43,64,65,40,56
        0.9596000000         1.0000  55
        0.8836666667         3.0000  41,38,39
        0.6042000000         1.0000  63
