# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.7592000000         1.0000  33
        5.3804000000         1.0000  52
        5.0196000000         1.0000  51
        4.7760000000         1.0000  47
        3.2652000000         1.0000  35
        3.1992000000         1.0000  44
        3.1289000000         1.0000  36
        2.8963000000         1.0000  31
        2.6934000000         1.0000  55
        2.2165000000         1.0000  30
        2.1020000000         2.0000  34,45
        2.0082000000         3.0000  46,43,37
        1.8037000000         2.0000  49,60
        1.6961000000         2.0000  50,59
        1.5478500000         2.0000  48,61
        1.4513000000         1.0000  57
        1.3775000000         1.0000  53
        1.2527000000         1.0000  56
        1.0369000000         4.0000  42,38,58,65
        0.9165000000         1.0000  54
        0.8195250000         4.0000  64,40,63,39
        0.6087000000         1.0000  41
