# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6067000000         1.0000  33
        5.2167000000         1.0000  51
        5.1159000000         1.0000  52
        4.7502000000         1.0000  47
        3.6402000000         1.0000  44
        3.3388000000         1.0000  35
        3.2509000000         1.0000  36
        2.7931000000         1.0000  31
        2.6263000000         1.0000  53
        2.3154000000         1.0000  45
        2.1307500000         2.0000  30,34
        1.8806166667         6.0000  42,49,48,38,50,60
        1.6406000000         2.0000  59,46
        1.4487333333         3.0000  61,57,58
        1.2998000000         1.0000  54
        1.0458000000         6.0000  63,43,65,40,56,55
        0.8970666667         3.0000  37,39,41
        0.6446000000         1.0000  64
